Time,Analog_Airspeed,Analog_Altitude,SBG_PitchAngle_EU,SBG_RollAngle_EU,Nz_EU,Nx_EU,T72001_EU,T72002_EU,T27004_EU,T27002_EU,T27001_EU,SBG_YawAngle_EU
2019-06-03 15:39:47.260,143.0185,6970.0093,3.6316,0.7935,1.0037,0.1535,2340.0,2400.0,-0.5623,-1.8331,4.1558,-72.0481
2019-06-03 15:39:47.280,142.9527,6969.9551,3.6403,0.7604,1.0946,0.0312,2340.0,2400.0,-0.574,-1.8301,4.1333,-72.0411
2019-06-03 15:39:47.300,142.961,6969.873,3.6453,0.725,1.2026,0.004,2340.0,2400.0,-0.5711,-1.8122,4.1439,-72.0341
2019-06-03 15:39:47.320,142.9445,6969.873,3.6453,0.725,1.0181,0.1246,2340.0,2400.0,-0.5857,-1.8301,4.1465,-72.0341
2019-06-03 15:39:47.340,143.117,6969.8462,3.6453,0.725,1.213,0.0132,2340.0,2400.0,-0.5798,-1.8301,4.1373,-72.0341
2019-06-03 15:39:47.360,143.1334,6969.9004,3.6535,0.6919,1.0532,0.1307,2340.0,2400.0,-0.5857,-1.8331,4.1412,-72.0254
2019-06-03 15:39:47.380,143.0924,6969.873,3.6639,0.6626,1.0965,0.0219,2340.0,2400.0,-0.5652,-1.8331,4.1412,-72.0149
2019-06-03 15:39:47.400,143.0924,6969.8462,3.667,0.6503,1.2374,0.0273,2400.0,2340.0,-0.574,-1.8301,4.1386,-72.0114
2019-06-03 15:39:47.420,143.0924,6969.8188,3.6741,0.638,0.997,0.1195,2400.0,2340.0,-0.574,-1.8331,4.1478,-72.0061
2019-06-03 15:39:47.440,143.1334,6969.873,3.6741,0.638,1.1875,0.0326,2400.0,2340.0,-0.5681,-1.8331,4.1333,-72.0061
2019-06-03 15:39:47.460,143.1498,6969.8462,3.6741,0.638,1.0832,0.1403,2400.0,2340.0,-0.5594,-1.8271,4.1439,-72.0061
2019-06-03 15:39:47.480,143.0842,6969.7915,3.6838,0.6082,1.0273,-0.0026,2400.0,2340.0,-0.5681,-1.8331,4.1452,-71.9957
2019-06-03 15:39:47.500,143.0924,6969.7915,3.6892,0.5776,1.1209,-0.036,2400.0,2340.0,-0.5623,-1.8331,4.1478,-71.9869
2019-06-03 15:39:47.520,143.076,6969.7915,3.6892,0.5776,0.9541,0.1608,2400.0,2340.0,-0.5944,-1.8331,4.1452,-71.9869
2019-06-03 15:39:47.540,143.1334,6969.873,3.6892,0.5776,1.1072,-0.0174,2400.0,2340.0,-0.5769,-1.8271,4.1293,-71.9869
2019-06-03 15:39:47.560,143.1416,6969.9277,3.6983,0.5507,1.1305,0.1564,2400.0,2340.0,-0.5828,-1.8331,4.1359,-71.9764
2019-06-03 15:39:47.580,143.0924,6969.9819,3.6983,0.5507,1.0321,-0.0104,2400.0,2340.0,-0.5564,-1.8182,4.1439,-71.9764
